student_id,student_name,date_of_brith,sex,job_id,num_course_taken,current_career_path_id,timespent_on_course_in_hrs,mailing_address,email
26,Doug Browning,1970-06-08,M,7,"",5,1,"P.O. Box 15845, Devine, Florida, 23097",doug7761@inlook.com
27,Damon Schrauwen,1953-10-31,M,4,"",10,3,"P.O. Box 84659, Maben, Georgia, 66137",damon9864@woohoo.com
52,Alisa Neil,1977-05-28,F,5,"",8,22,"16 View Annex, Mosses, North Dakota, 25748",alisa9616@inlook.com
71,Chauncey Hooper,1962-04-07,M,3,"",3,3,"955 Dewy Flat, Slaughterville, South Carolina, 22167",chauncey6352@woohoo.com
81,Ellyn van Heest,1984-06-28,F,3,"",10,12,"872 Cider Glade, Chicken, Delaware, 42689",ellyn_vanheest8375@hmail.com
97,Moises Krekel,2004-06-15,M,8,"","","","455 Silent Smith, Radium Springs, North Carolina, 29278",moises_krekel5984@woohoo.com
140,Charlie Semvoort,2004-03-06,N,8,"",5,5,"76 Dewy Quail, Whitesburg, South Carolina, 24297",charlie8186@inlook.com
150,Lindsey Mcclain,1972-11-30,N,6,"",9,21,"751 Robin Highlands, Hurlock, Tennessee, 33406",lindsey_mcclain8692@woohoo.com
158,Ching Rijkensz,1988-02-17,N,3,"",7,2,"471 Timber Arbor, Oaks, Texas, 84192",ching_rijkensz6414@hmail.com
203,Bettie Torres,1973-06-05,N,6,"",9,6,"457 SW Valley, New Madison village, South Carolina, 78280",bettie_torres6037@hmail.com
210,Clyde Benskoop,1989-06-23,M,7,"",7,0,"P.O. Box 41382, Kerr, Missouri, 39252",clyde2794@coldmail.com
225,Bettina Fry,1971-01-12,F,2,"",2,16,"646 Foggy First Passage, Moose Wilson Road, Missouri, 93096",fry3064@hmail.com
232,Cecil Blankenship,2001-11-18,M,4,"",4,19,"P.O. Box 45893, Whitsett, North Carolina, 04591",cecil_blankenship495@woohoo.com
253,Lenore Ferdinandus,1988-11-30,N,1,"",2,9,"878 Grove Plaza, Wanblee, Minnesota, 33309",lenore_ferdinandus3024@hmail.com
259,Shizuko Singh,1973-04-02,F,5,"",5,2,"73 E River Canyon, Burr village, Alabama, 70293",shizuko9784@hmail.com
