student_id,student_name,date_of_brith,sex,job_id,num_course_taken,current_career_path_id,timespent_on_course_in_hrs,mailing_address,email
1,Annabelle Avery,1943-07-03,F,7,6,1,4,"303 N Timber Key, Irondale, Wisconsin, 84736",annabelle_avery9376@woohoo.com
2,Micah Rubio,1991-02-07,M,7,5,8,4,"767 Crescent Fair, Shoals, Indiana, 37439",rubio6772@hmail.com
3,Hosea Dale,1989-12-07,M,7,8,8,6,"P.O. Box 41269, St. Bonaventure, Virginia, 83637",hosea_dale8084@coldmail.com
4,Mariann Kirk,1988-07-31,F,6,7,9,12,"517 SE Wintergreen Isle, Lane, Arkansas, 82242",kirk4005@hmail.com
5,Lucio Alexander,1963-08-31,M,7,14,3,5,"18 Cinder Cliff, Doyles borough, Rhode Island, 73737",alexander9810@hmail.com
6,Shavonda Mcmahon,1989-10-15,F,6,10,3,10,"P.O. Box 81591, Tarpon Springs, Montana, 37057",shavonda5863@coldmail.com
7,Terrell Bleijenberg,1959-05-05,M,2,9,8,24,"P.O. Box 53471, Oskaloosa, Virginia, 85274",bleijenberg188@hmail.com
8,Stanford Allan,1997-11-22,M,3,3,1,19,"255 Spring Avenue, Point Baker, Texas, 15796",stanford_allan8055@coldmail.com
9,Tricia Delacruz,1961-10-20,F,1,6,9,1,"997 Dewy Apple, Lake Lindsey, Washington, 78266",tricia_delacruz6622@woohoo.com
10,Regenia van der Helm,1999-02-23,N,5,7,6,13,"220 Middle Ridge, Falcon Heights, New Mexico, 46971",regenia6908@inlook.com
11,Shonda Stephanin,1998-10-24,F,7,5,10,12,"818 Clear Street, Rockwood, Maine, 14372",shonda_stephanin4439@coldmail.com
12,Marcus Mcfarland,1977-05-29,M,7,3,6,9,"718 Embers Lane, Dale, South Carolina, 19186",mcfarland1396@woohoo.com
13,Edwardo Boonzayer,1975-05-23,N,2,15,5,6,"147 SW Plain, Solana Beach, Kansas, 01794",edwardo8281@inlook.com
14,Robena Padilla,1969-01-15,F,3,5,9,15,"P.O. Box 73926, McLemoresville, Maryland, 57372",robena_padilla1477@hmail.com
15,Tamala Sears,1942-06-01,F,7,13,1,4,"868 Hazy Crossing, Bethania, Washington, 08205",tamala4408@woohoo.com
16,Norene Dalton,1976-04-30,F,6,0,0,0,"130 Wishing Essex, Branch, Ohio, 13616",norene_dalton9509@hmail.com
17,Maris Benskoop,1965-08-10,F,5,5,4,12,"P.O. Box 93831, South Mountain, Washington, 02481",maris5817@hmail.com
18,Yolande van Hees,1978-12-09,F,7,13,9,34,"460 Dusty Kennedy Cove, McBaine, New Jersey, 41490",vanhees6330@woohoo.com
19,Dominic Werner,1973-09-29,M,5,14,8,22,"P.O. Box 70430, Laramie, Nevada, 56963",werner3867@coldmail.com
20,Sofia van Steenbergen,1990-02-21,N,7,13,0,0,"634 Clear Barn Dell, Beaman, Georgia, 33288",vansteenbergen8482@inlook.com
21,Toney Villarreal,1993-06-04,M,4,4,3,4,"P.O. Box 22286, Leisure Village, South Carolina, 22326",villarreal2146@woohoo.com
22,Clayton Lamb,1963-02-02,M,2,8,6,2,"601 Old Oak Village, Binger, Connecticut, 29228",lamb2933@woohoo.com
23,Isabel van Erven,1973-06-11,F,6,9,5,7,"863 Seventh Boulevard, Marianna, Indiana, 01611",isabel9601@coldmail.com
24,Eartha Weeks,1954-12-05,F,7,2,1,9,"192 Cedar Vale, Hersey village, Illinois, 68184",eartha_weeks7248@hmail.com
25,Eloy Limmink,1998-01-07,M,3,10,3,10,"103 Sunny Rapid Parade, Marshfield, Delaware, 13122",eloy_limmink6109@coldmail.com
28,Lexie Rowland,1942-08-30,F,4,14,3,8,"33 High Cider Skyway, Inglewood, Mississippi, 22019",rowland6740@hmail.com
29,Edgardo Chavez,1946-02-12,M,7,12,5,12,"758 Green Butterfly Gateway, Crescentvillage, Maine, 81750",edgardo9341@woohoo.com
30,Bettyann Klarenbos,1950-11-05,F,1,9,9,21,"838 Horse Dam, Westmorland, Alabama, 31955",bettyann_klarenbos7887@coldmail.com
31,Christoper Warner,1989-12-28,M,2,5,0,0,"556 Stony Highlands, Drain, Illinois, 01973",warner5906@coldmail.com
32,Antwan Villegas,1976-06-11,M,7,3,3,3,"P.O. Box 75909, Closter borough, Montana, 06529",antwan_villegas3074@woohoo.com
33,Madelene Poole,1978-11-25,F,6,13,7,6,"797 Horse Terrace, Bonsall, Vermont, 93588",madelene9077@inlook.com
34,Dion Donaldson,1947-02-21,M,3,15,4,9,"P.O. Box 99080, Horse Cave, Idaho, 68425",dion_donaldson674@inlook.com
