student_id,student_name,age,sex,street,city,state,zip_code,email,career_path,job_title,num_course_taken,timespent_on_course_in_hrs
1,Annabelle Avery,81,F,303 N Timber Key, Irondale, Wisconsin, 84736,annabelle_avery9376@woohoo.com,data scientist,HR,6,4
2,Micah Rubio,33,M,767 Crescent Fair, Shoals, Indiana, 37439,rubio6772@hmail.com,android developer,HR,5,4
3,Hosea Dale,35,M,P.O. Box 41269, St. Bonaventure, Virginia, 83637,hosea_dale8084@coldmail.com,android developer,HR,8,6
4,Mariann Kirk,36,F,517 SE Wintergreen Isle, Lane, Arkansas, 82242,kirk4005@hmail.com,machine learning engineer,education,7,12
5,Lucio Alexander,61,M,18 Cinder Cliff, Doyles borough, Rhode Island, 73737,alexander9810@hmail.com,data analyst,HR,14,5
6,Shavonda Mcmahon,35,F,P.O. Box 81591, Tarpon Springs, Montana, 37057,shavonda5863@coldmail.com,data analyst,education,10,10
7,Terrell Bleijenberg,65,M,P.O. Box 53471, Oskaloosa, Virginia, 85274,bleijenberg188@hmail.com,android developer,engineer,9,24
8,Stanford Allan,27,M,255 Spring Avenue, Point Baker, Texas, 15796,stanford_allan8055@coldmail.com,data scientist,software developer,3,19
9,Tricia Delacruz,63,F,997 Dewy Apple, Lake Lindsey, Washington, 78266,tricia_delacruz6622@woohoo.com,machine learning engineer,analytics,6,1
10,Regenia van der Helm,25,N,220 Middle Ridge, Falcon Heights, New Mexico, 46971,regenia6908@inlook.com,frontend engineer,financial services,7,13
11,Shonda Stephanin,26,F,818 Clear Street, Rockwood, Maine, 14372,shonda_stephanin4439@coldmail.com,ux/ui designer,HR,5,12
12,Marcus Mcfarland,47,M,718 Embers Lane, Dale, South Carolina, 19186,mcfarland1396@woohoo.com,frontend engineer,HR,3,9
13,Edwardo Boonzayer,49,N,147 SW Plain, Solana Beach, Kansas, 01794,edwardo8281@inlook.com,backend engineer,engineer,15,6
14,Robena Padilla,55,F,P.O. Box 73926, McLemoresville, Maryland, 57372,robena_padilla1477@hmail.com,machine learning engineer,software developer,5,15
15,Tamala Sears,82,F,868 Hazy Crossing, Bethania, Washington, 08205,tamala4408@woohoo.com,data scientist,HR,13,4
16,Norene Dalton,48,F,130 Wishing Essex, Branch, Ohio, 13616,norene_dalton9509@hmail.com,Not Applicable,education,0,0
17,Maris Benskoop,59,F,P.O. Box 93831, South Mountain, Washington, 02481,maris5817@hmail.com,software engineering,financial services,5,12
18,Yolande van Hees,46,F,460 Dusty Kennedy Cove, McBaine, New Jersey, 41490,vanhees6330@woohoo.com,machine learning engineer,HR,13,34
19,Dominic Werner,51,M,P.O. Box 70430, Laramie, Nevada, 56963,werner3867@coldmail.com,android developer,financial services,14,22
